position,salary_range,company,category1,category2,location,remote,must have,nice to have,seniority
Python Software Developer -  Games,8 000  – 15 000  PLN,Zone IT Sp. z o.o.,Game dev,Python,Wrocław,,"Python, Java, angular, Polish, English","React, Ruby on Rails, UNITY, Helm, Kubernetes, Artifactory, Jenkins, OpenShift, CI/CD, PostgreSQL, DevOps, IBM Db2, IBM, Linux, AngularJS","Mid, Senior"
Data Engineer - Games,8 000  – 15 000  PLN,Zone IT Sp. z o.o.,Game dev,TypeScript,Wrocław,,"Data engineering, TypeScript, Polish, English","Angular, React, UNITY, DevOps, IBM Db2, IBM, Linux, ETL, REST API","Mid, Senior"
Tester Oprogramowania Lokey,4 000  – 8 000  PLN,Lokey,Testing,JavaScript,Remote,,"Debugging, Polish (NATIVE)","Jira, Selenium, Python, JavaScript, English (B2)",Junior
Regular/Senior Embedded Tester,15 120  – 22 680  PLN,Knowit,Testing,Python,Łódź,,"Python, Gerrit, Git, CI/CD, Jenkins, Robot Framework, Jira, English (B2)",REST API,"Mid, Senior"
Office Manager,7 000  – 8 000  PLN,QUANTUMZ.IO Ltd.,Backoffice,,Warszawa,,"MS Office, Google Workspace, English (C1)",Notion,Mid
Cloud Solution Architect with AWS,34 440  – 44 520  PLN,GFT Poland,Architecture,GCP,Remote,,"Architecture frameworks, Modern architecture patterns, GCP cloud architecture, Solution architecture, Containerized architecture, Cloud migration, Company tech strategy, Stakeholder management, AWS certificate, AWS, English (B2)",None,Expert
Senior/Tech Lead .NET Developer,18 480  – 29 400  PLN,Spyrosoft,Fullstack,.NET,Remote,,"C#, .NET CORE, .NET Framework, Entity Framework, NHibernate, Microservices, AWS, CI/CD, English",None,Senior
Senior System Integration Engineer,16 000  – 22 000  PLN,SoftServe,DevOps,,Remote,,"Linux, Kubernetes, Ansible, Terraform, Kernel, English (B2)",None,Senior
QA Manager,16 000  – 23 000  PLN,Andea Solutions Sp. z o.o.,Testing,Cypress,Remote,,"Cypress, QA, SaaS, REST API, API, SQL, English","Azure, Azure DevOps, CI/CD",Senior
Spec. MS Dynamics 365 Business Central,10 000  – 14 000  PLN,Probit Sp. z o.o.,ERP,,Remote,,"AL, MS SQL",English (B2),"Mid, Senior"
Senior Ad Operations Manager,10 732  – 15 203  PLN,Snigel,Customer Service,,Remote,,"AD, Google Ads, GAM, English (C1)",None,Senior
New Business Manager,15 000  – 20 000  PLN,Integral Solutions Sp. z o.o.,Sales,,Warszawa,,English (B2),"Data management, Azure, AWS, Google Cloud, Snowflake",Mid
Embedded C++ Developer,18 480  – 36 960  PLN,Capgemini,Embedded,C++,Kraków,,"C++, Linux, Unit testing, English (B2)","C, CAN, AUTOSAR, AWS, Polish","Mid, Senior"
Senior React Frontend Engineer,17 000  – 26 000  PLN,SoftServe,Frontend,React,Wrocław,,"React, d3, English (B2)","Agile, Scrum",Senior
Remote Full-Stack WordPress Developer,18 695  – 24 926  PLN,Adaptiq,Fullstack,PHP,Remote,,"PHP, WordPress, JavaScript, CSS, MySQL, ES6+, React, English",SCSS,"Mid, Senior"
Senior Backend Java Software Engineer,25 000  – 30 000  PLN,Vakoms,Backend,Java,Wrocław,,"Java, Spring, Spring Boot, REST API, OOP, Design Patterns, MVC, API, JUnit, Mockito, PostgreSQL, Domain Driven Design, Java EE, SQL, English (B2)","UML, Docker, CI/CD, Swing, Polish (B2)",Senior
Backend Java Software Engineer,15 000  – 20 000  PLN,Vakoms,Backend,Java,Wrocław,,"Java, Spring, Spring Boot, REST API, OOP, Design Patterns, MVC, API, JUnit, Mockito, PostgreSQL, Domain Driven Design, Java EE, SQL, English (B2)","UML, Docker, CI/CD, Swing, Polish (B2)",Mid
Stażysta w Dziale Controllingu,4 400  – 4 600  PLN,ZF Group,Finance,,Częstochowa,,"Excel, English (B2), Polish",None,Trainee
PHP Developer,12 000  – 18 000  PLN,E NET PRODUCTION,Backend,PHP,Remote,,"PHP, MySQL, Symfony, Git, Docker, Zend, Laravel, Polish","Redis, RabbitMQ, Varnish, Elasticsearch, English",Mid
Accounting Specialist,9 000  – 11 000  PLN,FORM,Finance,,Kraków,,"Accounting, Excel, English, Polish, English, Polish","NetSuite, Salesforce",Mid
ServiceNow Consultant (JavaScript),11 000  – 18 000  PLN,GuideVision Polska,Fullstack,JavaScript,Remote,,"JavaScript, ServiceNow, English (B2)","HTML, CSS, AngularJS, REST, SQL, SOAP",Mid
