position,salary_range,company,category1,category2,location,remote,must have,nice to have,seniority
Senior Data Architect,18 000  – 27 000  PLN,Bayer Sp. z o.o.,Data,Azure,Warsaw,False,"Degree, Data modeling, Big data, Microservices, Data governance, Data management, Snowflake, Kafka, Collibra, English (C1)",None,"Mid, Senior"
Inżynier SCADA,9 000  – 12 000  PLN,Orienta Polska,Electronics,C++,Łódź,False,"SCADA, iFix, WinCC, C, C++, C#, MATLAB, MySQL, SQL, English (B2)",None,Mid
Specjalista/ka ds. Eksportu,9 000  – 11 000  PLN,Orienta Polska,Sales,None,Warszawa,False,"MS Office, English (B2)",None,Mid
Przedstawiciel Handlowy,6 000  PLN,Orienta Polska,Sales,None,Warszawa,False,English (C1),None,Mid
Remote Lead Backend Python Developer,20 943  PLN,IT Recruiting Agency,Backend,Python,Remote,False,"Python, English (B2)",None,Expert
Data Architect Marketing&eComm Analytics,18 000  – 26 500  PLN,Bayer Sp. z o.o.,Data,Python,Warsaw,False,"Data engineering, Azure Data Lake, Databricks, Snowflake, SAP, HANA, SQL, Python, BI, Tableau, Data management, Azure, English",None,"Mid, Senior"
Remote Senior Backend Python Developer,18 849  – 20 943  PLN,IT Recruiting Agency,Backend,Python,Remote,False,"Python, English (B2)",None,Senior
Remote Project Manager 1/2 FTE,25 200  PLN,Link Group,Project Manager,None,Remote,False,"Confluence, Jira, Polish, English",None,Senior
Enterprise Product Manager,18 000  – 26 500  PLN,Bayer Sp. z o.o.,Product Management,None,Warsaw,False,"Business Analyst, Product Management, Project Management, English (C1)","GXP, EDI, German (B2)",Mid
Remote .NET Fullstack Developer,15 120  – 25 200  PLN,Prognetics,Fullstack,.NET,Remote,False,".NET, .NET Core, EF Core, SQL Server, Design Patterns, REST API, GitHub, English (B2), Polish (C1)","Angular, Azure, SOA, Microservices, React, NoSQL, Kubernetes, RabbitMQ",Mid
Marketing Head/Leader (IT),14 000  – 20 000  PLN,Elitmind,Marketing,None,Warszawa,False,"Networks, Digital marketing, Social media, Marketing automation, Email marketing, Marketing strategy, SEO, IT industry awarness, English, leadership, English (C1)",Data/BI industry awarness,"Senior, Expert"
Tech Lead Angular & TypeScript - Remote,25 000  – 30 000  PLN,Direct Communication Sp. z o.o.,Frontend,Angular,Remote,False,"Angular, TypeScript, English (B2)",None,Senior
Junior Operations Specialist,4 650  – 5 350  PLN,No Fluff Jobs,HR,None,Gdynia,False,"samodzielność, proaktywność, priorytetyzacja zadań, komunikacja, English (B2), Polish",None,Junior
Influencer Manager,7 000  – 8 000  PLN,Spotlight Agency,Marketing,None,Warszawa,False,Doświadczenie w social media marketingu,English,Mid
New Business Manager,7 000  – 8 000  PLN,Spotlight Agency,Sales,None,Warszawa,False,English (B2),None,Mid
Inżynier Elektryk,7 000  – 9 000  PLN,Creative Ideas,Electrical Engineering,None,Leszno,False,"CAD, AutoCAD, English (B1)","SAP, Comos",Mid
Product Control Analyst,15 000  – 17 500  PLN,Harvey Nash Technology,Finance,None,Warszawa,False,"Excel, P&L, English (C1)",None,"Mid, Senior"
Doradca ds. Klienta Biznesowego,5 000  – 9 000  PLN,Business Bridge Group,Customer Service,None,Wrocław,False,"MS Office, English (B1)",None,Mid
Inżynier sprzedaży (OZE),8 317  – 9 051  PLN,Business Bridge Group,Sales,None,Wrocław,False,"Driving license, English (B1)",None,Mid
Inżynier sprzedaży (pompy ciepła),8 317  – 9 051  PLN,Business Bridge Group,Sales,None,Gdańsk,False,English (B1),None,Mid
Programista PLC/Automatyk,7 000  – 14 000  PLN,Business Bridge Group,Automation,None,Wrocław,False,"Wonderware, English (B2)","SEP, AutoCAD, C++, C#, SQL, SEP 1kv, German",Mid
Inżynier sprzedaży,6 850  PLN,Business Bridge Group,Sales,None,Wrocław,False,English (B1),German,Mid
Finance Specialist,10 000  – 13 000  PLN,Harvey Nash Technology,Finance,None,Warszawa,False,"Accounting, Excel, finance, English (C1)","SQL, Alteryx, Tableau",Mid
Service Development Manager,16 000  – 18 000  PLN,Falck IT Poland Sp. z o.o.,Business Intelligence,None,Warszawa,False,"ITIL, English",None,Mid
Doradca w Dziale Hydrauliki Siłowej,7 000  PLN,Creative Ideas,Sales,None,Gdańsk,False,English (B1),None,Mid
