positon,salary_range,company,category1,category2,must_have,nice_to_have,location,seniority
Programista PLC,7 000 – 12 000 PLN,WUWER,Automation,,PLC,Angielski (B2),Ruda Ślaska,Mid
AI Engineer,27 000 – 32 000 PLN,CDeX,AI,Python,AI,.NET,Remote,"Mid, Senior"
Koordynator ds. marketingu z niemieckim,8 000 – 12 000 PLN,LeasingTeam Professional,Marketing,,Adobe Creative Cloud,Angielski (B2),Gdańsk,Mid
Customer service with Finnish & English,9 000 – 9 500 PLN,LeasingTeam Professional,Customer Service,,MS Excel,,Remote,"Trainee, Junior"
Marketing Specialist with german,8 000 – 12 000 PLN,LeasingTeam Professional,Marketing,,Adobe Creative Cloud,Angielski (B2),Gdańsk,Mid
Customer Specialist with Finnish,9 000 – 9 500 PLN,LeasingTeam Professional,Customer Service,,MS Office,,Remote,Mid
Specjalista ds. marketingu z niemieckim,6 000 – 10 000 PLN,LeasingTeam Professional,Marketing,,Adobe Creative Cloud,Angielski (B2),Gdańsk,Mid
Marketing Specialist with german,8 000 – 12 000 PLN,LeasingTeam Professional,Marketing,,Adobe Creative Cloud,Angielski (B2),Gdańsk,Mid
Customer Specialist with Finnish,9 000 – 9 500 PLN,LeasingTeam Professional,Customer Service,,MS Office,,Remote,Mid
Specjalista ds. marketingu z niemieckim,6 000 – 10 000 PLN,LeasingTeam Professional,Marketing,,Adobe Creative Cloud,Angielski (B2),Gdańsk,Mid
Obsługa klienta z j. słoweńskim,6 720 PLN,LeasingTeam Professional,Customer Service,,Słoweński (C1),,Remote,Junior
Młodszy Konstruktor Mechanik,5 500 – 7 500 PLN,Sonel S.A.,Mechanics,,SolidWorks,Jira,Wrocław,Junior
Salesforce Developer,14 000 – 20 000 PLN,Nordcloud,Backend,,Salesforce,Jira,Remote,Mid
Senior SAP Integration (CPI) Developer,14 540 – 27 004 PLN,Customertimes,ERP,,SAP,,Remote,Senior
Remote Solution Architect - SAP CS/QM,33 000 – 37 000 PLN,Link Group,ERP,,SAP,Niemiecki,Remote,Senior
Junior Technology Business Consultant,7 000 – 7 500 PLN,FIS Technology Services (Poland) Sp. z o.o.,IT Support,,Degree,,Warsaw,Junior
"Junior Implementation Analyst, FIS Uni",7 000 – 7 500 PLN,FIS Technology Services (Poland) Sp. z o.o.,Business Analysis,,Degree,,Warszawa,Junior
Remote Lead / Senior .NET Developer,20 000 – 29 000 PLN,KMD Poland,Backend,.NET,.NET,Azure,Remote,Senior
Functional Consultant / Business Analyst,12 000 – 16 000 PLN,Netwise S.A.,Business Analysis,,Microsoft Dynamics 365,UML,Remote,Mid
SQL Specialist - Gaming Development,8 000 – 13 000 PLN,Zone IT Sp. z o.o.,Game dev,SQL,SQL,Angular,Wrocław,"Mid, Senior"
DevOps Engineer - Games,8 000 – 15 000 PLN,Zone IT Sp. z o.o.,Game dev,React,Developing products,UNITY,Wrocław,"Mid, Senior"
Oracle Specialist - Gaming solutions,11 000 – 18 000 PLN,Zone IT Sp. z o.o.,Game dev,SQL,Oracle database,React,Wrocław,"Mid, Senior"
Python Software Developer - Games,8 000 – 15 000 PLN,Zone IT Sp. z o.o.,Game dev,Python,Python,React,Wrocław,"Mid, Senior"
Data Engineer - Games,8 000 – 15 000 PLN,Zone IT Sp. z o.o.,Game dev,TypeScript,Data engineering,Angular,Wrocław,"Mid, Senior"
Tester Oprogramowania Lokey,4 000 – 8 000 PLN,Lokey,Testing,JavaScript,Debugging,Jira,Remote,Junior
Regular/Senior Embedded Tester,15 120 – 22 680 PLN,Knowit,Testing,Python,Python,REST API,Łódź,"Mid, Senior"
Office Manager,7 000 – 8 000 PLN,QUANTUMZ.IO Ltd.,Backoffice,,MS Office,Notion,Warszawa,Mid
QA Manager,16 000 – 23 000 PLN,Andea Solutions Sp. z o.o.,Testing,Cypress,Cypress,Azure,Remote,Senior
Spec. MS Dynamics 365 Business Central,10 000 – 14 000 PLN,Probit Sp. z o.o.,ERP,,AL,Angielski (B2),Remote,"Mid, Senior"
Senior Ad Operations Manager,10 732 – 15 203 PLN,Snigel,Customer Service,,AD,,Remote,Senior
New Business Manager,15 000 – 20 000 PLN,Integral Solutions Sp. z o.o.,Sales,,Angielski (B2),Data management,Warszawa,Mid
Embedded C++ Developer,18 480 – 36 960 PLN,Capgemini,Embedded,C++,C++,C,Kraków,"Mid, Senior"
Senior React Frontend Engineer,17 000 – 26 000 PLN,SoftServe,Frontend,React,React,Agile,Wrocław,Senior
Remote Full-Stack WordPress Developer,18 695 – 24 926 PLN,Adaptiq,Fullstack,PHP,PHP,SCSS,Remote,"Mid, Senior"
Senior Backend Java Software Engineer,25 000 – 30 000 PLN,Vakoms,Backend,Java,Java,UML,Wrocław,Senior
Backend Java Software Engineer,15 000 – 20 000 PLN,Vakoms,Backend,Java,Java,UML,Wrocław,Mid
Stażysta w Dziale Controllingu,4 400 – 4 600 PLN,ZF Group,Finance,,Excel,,Częstochowa,Trainee
PHP Developer,12 000 – 18 000 PLN,E NET PRODUCTION,Backend,PHP,PHP,Redis,Remote,Mid
Accounting Specialist,9 000 – 11 000 PLN,FORM,Finance,,Accounting,NetSuite,Kraków,Mid
ServiceNow Consultant (JavaScript),11 000 – 18 000 PLN,GuideVision Polska,Fullstack,JavaScript,JavaScript,HTML,Remote,Mid
MS SQL Developer,20 000 – 24 000 PLN,Team Connect Sp. z o.o.,Data,SQL,SQL,MS Office,Warsaw,Mid
Specjalista ds. Obsługi i Sprzedaży,5 000 – 7 000 PLN,Centrum Respo,Customer Service,,,Angielski (B2),Remote,Mid
Specjalista ds. Obsługi i Sprzedaży,5 000 – 7 000 PLN,Centrum Respo,Sales,,,Angielski (B2),Remote,Mid
Angular & TypeScript Developer - Remote,21 500 – 25 000 PLN,Direct Communication Sp. z o.o.,Frontend,Angular,Angular,,Remote,"Mid, Senior"
DIRECT SALES MANAGER,7 000 – 8 000 PLN,SCREEN NETWORK,Marketing,,Digital marketing,Angielski,Warszawa,Mid
Data Engineer with Python,14 280 – 25 200 PLN,GFT Poland,Data,GCP,Big Data,Agile,Remote,"Mid, Senior"
Manufacturing Engineer,4 154 – 6 231 PLN,Faspro Technologies,Mechanics,,Assembly,,Remote,Mid
